Segunda-feira,Zona,Quantidade
2022-08-22,1,712.8571428571429
2022-08-22,2,48.57142857142857
2022-08-22,3,10.142857142857142
2022-08-29,1,656.8571428571429
2022-08-29,2,44.42857142857143
2022-08-29,3,10.0
2022-09-05,1,573.1428571428571
2022-09-05,2,35.42857142857143
2022-09-05,3,6.714285714285714
2022-09-12,1,591.8571428571429
2022-09-12,2,33.714285714285715
2022-09-12,3,8.571428571428571
2022-09-19,1,585.8571428571429
2022-09-19,2,30.857142857142858
2022-09-19,3,12.142857142857142
2022-09-26,1,561.8571428571429
2022-09-26,2,32.857142857142854
2022-09-26,3,10.333333333333334
2022-10-03,1,534.0
2022-10-03,2,34.285714285714285
2022-10-03,3,11.142857142857142
2022-10-10,1,501.2857142857143
2022-10-10,2,26.571428571428573
2022-10-10,3,9.714285714285714
2022-10-17,1,547.1428571428571
2022-10-17,2,25.142857142857142
2022-10-17,3,10.285714285714286
2022-10-24,1,535.8571428571429
2022-10-24,2,23.0
2022-10-24,3,9.285714285714286
2022-10-31,1,505.85714285714283
2022-10-31,2,26.285714285714285
2022-10-31,3,9.571428571428571
2022-11-07,1,708.7142857142857
2022-11-07,2,27.0
2022-11-07,3,12.142857142857142
2022-11-14,1,936.7142857142857
2022-11-14,2,40.0
2022-11-14,3,12.142857142857142
2022-11-21,1,1090.2857142857142
2022-11-21,2,44.57142857142857
2022-11-21,3,13.285714285714286
2022-11-28,1,1099.5714285714287
2022-11-28,2,64.14285714285714
2022-11-28,3,11.142857142857142
2022-12-05,1,1048.857142857143
2022-12-05,2,68.0
2022-12-05,3,7.285714285714286
2022-12-12,1,1074.7142857142858
2022-12-12,2,70.0
2022-12-12,3,9.428571428571429
2022-12-19,1,924.5714285714286
2022-12-19,2,62.142857142857146
2022-12-19,3,9.428571428571429
2022-12-26,1,846.1428571428571
2022-12-26,2,52.57142857142857
2022-12-26,3,9.714285714285714
2023-01-02,1,733.4285714285714
2023-01-02,2,47.57142857142857
2023-01-02,3,7.714285714285714
2023-01-09,1,563.2857142857143
2023-01-09,2,33.714285714285715
2023-01-09,3,5.285714285714286
2023-01-16,1,474.57142857142856
2023-01-16,2,27.428571428571427
2023-01-16,3,5.714285714285714
2023-01-23,1,443.2857142857143
2023-01-23,2,23.571428571428573
2023-01-23,3,5.428571428571429
2023-01-30,1,413.7142857142857
2023-01-30,2,19.285714285714285
2023-01-30,3,5.571428571428571
2023-02-06,1,405.0
2023-02-06,2,20.142857142857142
2023-02-06,3,5.571428571428571
2023-02-13,1,305.5
2023-02-13,2,21.0
2023-02-13,3,6.0
