Segunda-feira,Raca,Quantidade
2021-05-03,1,2913.285714285714
2021-05-03,2,299.0
2021-05-03,3,73.0
2021-05-03,4,2558.4285714285716
2021-05-03,5,9.142857142857142
2021-05-10,1,3089.285714285714
2021-05-10,2,327.7142857142857
2021-05-10,3,64.28571428571429
2021-05-10,4,2600.714285714286
2021-05-10,5,9.428571428571429
2021-05-17,1,3410.1428571428573
2021-05-17,2,339.0
2021-05-17,3,77.14285714285714
2021-05-17,4,2899.1428571428573
2021-05-17,5,9.571428571428571
2021-05-24,1,3580.4285714285716
2021-05-24,2,335.7142857142857
2021-05-24,3,79.57142857142857
2021-05-24,4,2916.285714285714
2021-05-24,5,12.285714285714286
2021-05-31,1,3457.5714285714284
2021-05-31,2,314.85714285714283
2021-05-31,3,66.57142857142857
2021-05-31,4,2741.5714285714284
2021-05-31,5,7.857142857142857
2021-06-07,1,3508.714285714286
2021-06-07,2,306.42857142857144
2021-06-07,3,64.28571428571429
2021-06-07,4,2653.1428571428573
2021-06-07,5,9.571428571428571
2021-06-14,1,3133.5714285714284
2021-06-14,2,287.42857142857144
2021-06-14,3,56.857142857142854
2021-06-14,4,2390.5714285714284
2021-06-14,5,12.285714285714286
2021-06-21,1,2821.714285714286
2021-06-21,2,251.42857142857142
2021-06-21,3,53.42857142857143
2021-06-21,4,2138.1428571428573
2021-06-21,5,9.285714285714286
2021-06-28,1,2416.285714285714
2021-06-28,2,213.42857142857142
2021-06-28,3,48.0
2021-06-28,4,1899.7142857142858
2021-06-28,5,6.571428571428571
2021-07-05,1,2126.714285714286
2021-07-05,2,199.42857142857142
2021-07-05,3,38.57142857142857
2021-07-05,4,1742.5714285714287
2021-07-05,5,9.142857142857142
2021-07-12,1,2018.857142857143
2021-07-12,2,206.14285714285714
2021-07-12,3,41.42857142857143
2021-07-12,4,1639.4285714285713
2021-07-12,5,6.428571428571429
2021-07-19,1,1727.857142857143
2021-07-19,2,188.42857142857142
2021-07-19,3,36.42857142857143
2021-07-19,4,1536.4285714285713
2021-07-19,5,6.833333333333333
2021-07-26,1,1549.2857142857142
2021-07-26,2,166.0
2021-07-26,3,33.857142857142854
2021-07-26,4,1336.0
2021-07-26,5,6.571428571428571
2021-08-02,1,1465.2857142857142
2021-08-02,2,139.42857142857142
2021-08-02,3,29.0
2021-08-02,4,1174.142857142857
2021-08-02,5,5.428571428571429
2021-08-09,1,1415.857142857143
2021-08-09,2,142.42857142857142
2021-08-09,3,33.57142857142857
2021-08-09,4,1136.142857142857
2021-08-09,5,5.571428571428571
2021-08-16,1,1313.4285714285713
2021-08-16,2,142.14285714285714
2021-08-16,3,25.285714285714285
2021-08-16,4,1062.142857142857
2021-08-16,5,4.571428571428571
