Segunda-feira,Escolaridade,Quantidade
2021-05-10,1,633.1428571428571
2021-05-10,2,464.14285714285717
2021-05-10,3,816.7142857142857
2021-05-10,4,317.85714285714283
2021-05-17,0,179.85714285714286
2021-05-17,1,701.5714285714286
2021-05-17,2,523.4285714285714
2021-05-17,3,936.8571428571429
2021-05-17,4,382.7142857142857
2021-05-24,0,186.85714285714286
2021-05-24,1,688.4285714285714
2021-05-24,2,553.5714285714286
2021-05-24,3,998.2857142857143
2021-05-24,4,385.7142857142857
2021-05-31,0,167.71428571428572
2021-05-31,1,631.4285714285714
2021-05-31,2,525.1428571428571
2021-05-31,3,979.1428571428571
2021-05-31,4,396.0
2021-06-07,0,174.14285714285714
2021-06-07,1,635.8571428571429
2021-06-07,2,529.1428571428571
2021-06-07,3,947.8571428571429
2021-06-07,4,388.0
2021-06-14,0,168.28571428571428
2021-06-14,1,586.2857142857143
2021-06-14,2,463.7142857142857
2021-06-14,3,880.7142857142857
2021-06-14,4,328.14285714285717
2021-06-21,0,156.71428571428572
2021-06-21,1,550.8571428571429
2021-06-21,2,442.7142857142857
2021-06-21,3,790.8571428571429
2021-06-21,4,294.14285714285717
2021-06-28,0,140.0
2021-06-28,1,471.57142857142856
2021-06-28,2,367.2857142857143
2021-06-28,3,655.5714285714286
2021-06-28,4,245.57142857142858
2021-07-05,0,135.85714285714286
2021-07-05,1,453.2857142857143
2021-07-05,2,315.7142857142857
2021-07-05,3,596.5714285714286
2021-07-05,4,205.71428571428572
2021-07-12,0,142.85714285714286
2021-07-12,1,423.2857142857143
2021-07-12,2,289.7142857142857
2021-07-12,3,553.2857142857143
2021-07-12,4,199.42857142857142
2021-07-19,0,136.28571428571428
2021-07-19,1,383.7142857142857
2021-07-19,2,247.57142857142858
2021-07-19,3,458.7142857142857
2021-07-19,4,170.85714285714286
2021-07-26,0,129.85714285714286
2021-07-26,1,352.42857142857144
2021-07-26,2,231.42857142857142
2021-07-26,3,410.42857142857144
2021-07-26,4,145.28571428571428
2021-08-02,0,110.14285714285714
2021-08-02,1,325.0
2021-08-02,2,211.14285714285714
2021-08-02,3,361.14285714285717
2021-08-02,4,137.14285714285714
2021-08-09,0,117.57142857142857
2021-08-09,1,304.14285714285717
2021-08-09,2,190.28571428571428
2021-08-09,3,324.0
2021-08-09,4,125.42857142857143
2021-08-16,0,116.42857142857143
2021-08-16,1,289.7142857142857
2021-08-16,2,181.28571428571428
2021-08-16,3,293.7142857142857
2021-08-16,4,108.71428571428571
2021-08-23,0,101.85714285714286
2021-08-23,1,258.7142857142857
2021-08-23,2,156.71428571428572
2021-08-23,3,252.0
2021-08-23,4,93.28571428571429
2021-08-30,0,95.0
2021-08-30,1,222.42857142857142
2021-08-30,2,137.71428571428572
2021-08-30,3,211.28571428571428
2021-08-30,4,82.42857142857143
2021-09-06,0,84.42857142857143
